variavel,ano,mes,encontrado,url
pet,1991,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_01_1991_V.2.1.tif
pet,1991,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_02_1991_V.2.1.tif
pet,1991,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_03_1991_V.2.1.tif
pet,1991,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_04_1991_V.2.1.tif
pet,1991,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_05_1991_V.2.1.tif
pet,1991,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_06_1991_V.2.1.tif
pet,1991,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_07_1991_V.2.1.tif
pet,1991,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_08_1991_V.2.1.tif
pet,1991,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_09_1991_V.2.1.tif
pet,1991,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_10_1991_V.2.1.tif
pet,1991,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_11_1991_V.2.1.tif
pet,1991,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1991/CHELSA_pet_12_1991_V.2.1.tif
pet,1992,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_01_1992_V.2.1.tif
pet,1992,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_02_1992_V.2.1.tif
pet,1992,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_03_1992_V.2.1.tif
pet,1992,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_04_1992_V.2.1.tif
pet,1992,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_05_1992_V.2.1.tif
pet,1992,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_06_1992_V.2.1.tif
pet,1992,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_07_1992_V.2.1.tif
pet,1992,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_08_1992_V.2.1.tif
pet,1992,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_09_1992_V.2.1.tif
pet,1992,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_10_1992_V.2.1.tif
pet,1992,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_11_1992_V.2.1.tif
pet,1992,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1992/CHELSA_pet_12_1992_V.2.1.tif
pet,1993,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_01_1993_V.2.1.tif
pet,1993,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_02_1993_V.2.1.tif
pet,1993,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_03_1993_V.2.1.tif
pet,1993,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_04_1993_V.2.1.tif
pet,1993,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_05_1993_V.2.1.tif
pet,1993,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_06_1993_V.2.1.tif
pet,1993,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_07_1993_V.2.1.tif
pet,1993,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_08_1993_V.2.1.tif
pet,1993,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_09_1993_V.2.1.tif
pet,1993,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_10_1993_V.2.1.tif
pet,1993,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_11_1993_V.2.1.tif
pet,1993,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1993/CHELSA_pet_12_1993_V.2.1.tif
pet,1994,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_01_1994_V.2.1.tif
pet,1994,2,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_02_1994_V.2.1.tif
pet,1994,3,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_03_1994_V.2.1.tif
pet,1994,4,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_04_1994_V.2.1.tif
pet,1994,5,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_05_1994_V.2.1.tif
pet,1994,6,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_06_1994_V.2.1.tif
pet,1994,7,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_07_1994_V.2.1.tif
pet,1994,8,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_08_1994_V.2.1.tif
pet,1994,9,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_09_1994_V.2.1.tif
pet,1994,10,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_10_1994_V.2.1.tif
pet,1994,11,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_11_1994_V.2.1.tif
pet,1994,12,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1994/CHELSA_pet_12_1994_V.2.1.tif
pet,1995,1,True,https://os.unil.cloud.switch.ch/chelsa02/chelsa/global/monthly/pet/1995/CHELSA_pet_01_1995_V.2.1.tif
