variavel,cenario,camada,n,me,mae,rmse,mec,slope,fator_smearing
areia,clima_continuo,000_010cm,11581,0.5797014693909371,6.409256810843436,11.23255031798264,0.8273473145069794,0.973400950474932,
silte,clima_continuo,000_010cm,11581,-0.020315093159389033,3.797433948200938,6.302098295056795,0.8217498532417299,1.0040468878399766,
argila,clima_continuo,000_010cm,11581,-0.5593863762315481,5.250842997271487,8.88770053100016,0.8059978819125027,0.9750751814279609,
areia,clima_continuo,010_020cm,9749,0.4633054758269175,6.242530703427132,11.056500566789419,0.8323454181313691,0.9696883632110941,
silte,clima_continuo,010_020cm,9749,-0.03480643652290597,3.7229851240366747,6.02823037118532,0.8297414824328277,1.0125814226847418,
argila,clima_continuo,010_020cm,9749,-0.42849903930401173,5.135196899276811,8.829909154625586,0.8172417033976491,0.9717617843162434,
areia,clima_continuo,020_030cm,6381,-0.13488192109693897,4.633838031013661,7.894732849617052,0.9009051444507195,0.9921655087937651,
silte,clima_continuo,020_030cm,6381,0.025415111479146168,2.723443491309192,4.555142242244393,0.8765825710221882,1.0093188823042167,
argila,clima_continuo,020_030cm,6381,0.10946680961779283,4.653815349356807,7.634068862855276,0.8551322845989412,1.0042816196786672,
areia,holdridge_eth,000_010cm,11581,0.7219563626179961,6.54799491784906,11.368437576862762,0.8231446690545652,0.9684469601308453,
silte,holdridge_eth,000_010cm,11581,-0.13859152507824862,3.8306187461686028,6.314891162950824,0.8210254452946045,1.002494882632654,
argila,holdridge_eth,000_010cm,11581,-0.5833648375397475,5.3264847203717665,8.999129592026888,0.8011028052321021,0.9723183955957521,
areia,holdridge_eth,010_020cm,9749,0.5492313828816973,6.390149845746527,11.230546251363139,0.8270256117422516,0.9661890622263326,
silte,holdridge_eth,010_020cm,9749,-0.1353265024350351,3.727893848443156,6.046074171169933,0.8287320467832202,1.0114450900783927,
argila,holdridge_eth,010_020cm,9749,-0.4139048804466624,5.215025655874498,8.980311240986651,0.8109627424021553,0.9696493284867073,
areia,holdridge_eth,020_030cm,6381,-0.12836068842692216,4.677905382797789,7.942437390707016,0.8997039493850816,0.9918262538687623,
silte,holdridge_eth,020_030cm,6381,0.0066079062268966805,2.7204530057165712,4.548582223684623,0.8769377905083324,1.0074819226634788,
argila,holdridge_eth,020_030cm,6381,0.12175278220002542,4.711816276820235,7.686053385425533,0.8531526011352063,1.0031220626943482,
areia,holdridge_etpm,000_010cm,11581,0.8078585018002508,6.631150290365048,11.432191794426743,0.8211554970076735,0.9649870306974736,
silte,holdridge_etpm,000_010cm,11581,-0.22137441398645635,3.879030758146655,6.369939827208018,0.8178915028140492,1.0018590938566894,
argila,holdridge_etpm,000_010cm,11581,-0.5864840878137947,5.350717124945366,8.997814816224611,0.801160918878127,0.9694812712655067,
areia,holdridge_etpm,010_020cm,9749,0.7042623912248146,6.527064578039459,11.298755633834205,0.8249180908237309,0.9591452466843976,
silte,holdridge_etpm,010_020cm,9749,-0.24359185923297608,3.813069240621398,6.111690370032115,0.824994436958992,1.0059514821045958,
argila,holdridge_etpm,010_020cm,9749,-0.4606705319918389,5.261383697378874,8.9865092910433,0.8107017120917547,0.9673420146921211,
areia,holdridge_etpm,020_030cm,6381,-0.11267874200594448,4.679718917215796,7.949847289121674,0.8995167196503076,0.991484216913955,
silte,holdridge_etpm,020_030cm,6381,-0.010671101036567253,2.718730500544007,4.548552483330889,0.876939399757763,1.0077025065539749,
argila,holdridge_etpm,020_030cm,6381,0.12334984304251177,4.708389376552411,7.690146468976346,0.8529961570709598,1.0027636115814162,
areia,koppen_chelsa,000_010cm,11581,0.6621633947640613,6.52701101201459,11.362700782116526,0.8233231151664049,0.9682654341798648,
silte,koppen_chelsa,000_010cm,11581,-0.10541530931108525,3.8295110054560793,6.332573465431103,0.820021750111885,1.0029794218023413,
argila,koppen_chelsa,000_010cm,11581,-0.556748085452976,5.306688817035556,8.973621236006753,0.8022287696573102,0.9710853569009883,
areia,koppen_chelsa,010_020cm,9749,0.45667924849799263,6.371859920946409,11.178083610735062,0.8286379103958943,0.968513910072845,
silte,koppen_chelsa,010_020cm,9749,-0.05947544421426897,3.734475645048474,6.041828675666915,0.8289724877759028,1.0116193160541311,
argila,koppen_chelsa,010_020cm,9749,-0.39720380428372365,5.20976736890746,8.952235254309107,0.8121429043946484,0.9708162847612648,
areia,koppen_chelsa,020_030cm,6381,-0.1163567130578886,4.678633460939393,7.943655739162747,0.8996731767381965,0.9913738292897107,
silte,koppen_chelsa,020_030cm,6381,-0.0027102875723675644,2.7280442246375114,4.561837797959209,0.8762194844056818,1.007011064625887,
argila,koppen_chelsa,020_030cm,6381,0.11906700063025609,4.703144488168941,7.683342369326532,0.853256174564317,1.0035786797559376,
areia,koppen_ipef,000_010cm,11581,0.6943693636158527,6.541433303331929,11.383572342115642,0.8226734617111452,0.9685516089477205,
silte,koppen_ipef,000_010cm,11581,-0.11207124751147411,3.8294302688227195,6.331218627139809,0.8200987536685741,1.0032756427994645,
argila,koppen_ipef,000_010cm,11581,-0.5822981161043786,5.319672119741225,8.993124325628974,0.8013681713648186,0.9708476847365345,
areia,koppen_ipef,010_020cm,9749,0.47196284290226503,6.361091750690954,11.196404379802937,0.828075728509843,0.9673047444259908,
silte,koppen_ipef,010_020cm,9749,-0.07897666531740773,3.721872642894293,6.031835968683361,0.8295377519066818,1.0125226882371658,
argila,koppen_ipef,010_020cm,9749,-0.3929861775848571,5.212050196640343,8.97678016654418,0.8111113727511627,0.9693468056488473,
areia,koppen_ipef,020_030cm,6381,-0.12821193871032346,4.681790544344729,7.946760701326997,0.899594731276518,0.9918921351079897,
silte,koppen_ipef,020_030cm,6381,0.008248793192094017,2.7222833099918886,4.554320148797976,0.8766271147481746,1.007559050366369,
argila,koppen_ipef,020_030cm,6381,0.11996314551822931,4.704939982949601,7.684430639808381,0.8532146019581002,1.003333658969882,
areia,sem_clima,000_010cm,11581,0.7125870451492676,6.552732742545954,11.408212508305784,0.8219049711076508,0.9675156728065225,
silte,sem_clima,000_010cm,11581,-0.12573683915932482,3.8330135824992655,6.334132347307317,0.8199331291534245,1.0028998420177218,
argila,sem_clima,000_010cm,11581,-0.5868502059899429,5.327626907294283,9.012159931363621,0.800526399648408,0.9705720414835683,
areia,sem_clima,010_020cm,9749,0.4616690757131035,6.36851688413638,11.193717268175158,0.82815824147674,0.9673621364412364,
