rep,cenario,n,r2,rmse
0,koppen_ipef,10892,0.33301206686554885,0.5070298437863237
0,sem_clima,10892,0.3387800430145065,0.5048327378973407
0,koppen_chelsa,10892,0.33492868806975107,0.5063008326429714
0,holdridge_etpm,10892,0.33822792099071464,0.5050434628680334
0,holdridge_eth,10892,0.3350638383715767,0.5062493868914033
0,th_cad100,10892,0.3409004810156504,0.5040226246381236
0,th_cadsolo,10892,0.33991366910167675,0.5043997979531007
0,clima_continuo,10892,0.3585220916434477,0.49723923134753406
0,zonas_k10,10892,0.33950862786113933,0.5045545287655365
1,koppen_ipef,10892,0.330412699054598,0.5080168747421283
1,sem_clima,10892,0.33081435539650594,0.5078644832553552
1,koppen_chelsa,10892,0.32559068013807724,0.5098428296843416
1,holdridge_etpm,10892,0.3342054987716552,0.5065760300949805
1,holdridge_eth,10892,0.32995394361959984,0.5081908741573463
1,th_cad100,10892,0.33459541455481023,0.5064276728189777
1,th_cadsolo,10892,0.335610930485847,0.5060410796457157
1,clima_continuo,10892,0.3570266241656148,0.49781849698177516
1,zonas_k10,10892,0.34068347985109737,0.5041055897233181
2,koppen_ipef,10892,0.3441372876267417,0.5027834857742981
2,sem_clima,10892,0.34546576483779234,0.5022740232247686
2,koppen_chelsa,10892,0.3428472043185007,0.5032777309252545
2,holdridge_etpm,10892,0.349102922896262,0.500876544774987
2,holdridge_eth,10892,0.34861726567892604,0.501063370741249
2,th_cad100,10892,0.3502381129988833,0.5004395799739721
2,th_cadsolo,10892,0.3487887193286501,0.5009974227255772
2,clima_continuo,10892,0.36811882222673364,0.49350578016675145
2,zonas_k10,10892,0.3527790678323538,0.49946011349243125
