rep,cenario,n,r2,rmse
0,koppen_ipef,10892,0.24022389763325624,0.5411496088654085
0,sem_clima,10892,0.23655050330915195,0.5424562167898799
0,koppen_chelsa,10892,0.2354643054737915,0.5428419694451784
0,holdridge_etpm,10892,0.24622124468417184,0.5390095757851036
0,holdridge_eth,10892,0.2367041286432402,0.5424016360935839
0,th_cad100,10892,0.24521125624002704,0.5393705644723087
0,th_cadsolo,10892,0.24944417227466054,0.5378560212947031
0,clima_continuo,10892,0.27363613448512425,0.5291169203078814
0,zonas_k10,10892,0.24942290048600635,0.5378636430319046
1,koppen_ipef,10892,0.21557428286078195,0.549857870665039
1,sem_clima,10892,0.22527630885407246,0.5464468825579109
1,koppen_chelsa,10892,0.21583351105656035,0.5497670077326271
1,holdridge_etpm,10892,0.2275043418383449,0.545660551696544
1,holdridge_eth,10892,0.22867042492603762,0.5452485585454696
1,th_cad100,10892,0.22996357691514535,0.5447913058655115
1,th_cadsolo,10892,0.23397584548738637,0.5433701368475334
1,clima_continuo,10892,0.26565300683050774,0.5320166138606132
1,zonas_k10,10892,0.24195451707132698,0.5405329417042635
2,koppen_ipef,10892,0.24079834897073504,0.5409449940470684
2,sem_clima,10892,0.24165474052819902,0.540639810674225
2,koppen_chelsa,10892,0.23814274845876404,0.5418902500180722
2,holdridge_etpm,10892,0.24368432084308866,0.5399158613567326
2,holdridge_eth,10892,0.24326209208881533,0.5400665498851862
2,th_cad100,10892,0.24452414804081057,0.5396160117150661
2,th_cadsolo,10892,0.24169964629504925,0.5406238033184715
2,clima_continuo,10892,0.2710242156655104,0.5300673876628541
2,zonas_k10,10892,0.24891327991115075,0.5380462091315809
