nivel,codigo,rotulo
HLZ_L1,1,Polar_Zone
HLZ_L1,2,Subpolar_Zone
HLZ_L1,3,Boreal_Zone
HLZ_L1,4,Cool_Temperate_Zone
HLZ_L1,5,Warm_Temperate_Zone
HLZ_L1,6,Subtropical_Zone
HLZ_L1,7,Tropical_Zone
HLZ_L2,1,Polar_Ice
HLZ_L2,2,Polar_Desert
HLZ_L2,3,Subpolar_Dry_tundra
HLZ_L2,4,Subpolar_Moist_tundra
HLZ_L2,5,Subpolar_Wet_tundra
HLZ_L2,6,Subpolar_Rain_tundra
HLZ_L2,7,Boreal_Desert
HLZ_L2,8,Boreal_Dry_bush
HLZ_L2,9,Boreal_Moist_forest
HLZ_L2,10,Boreal_Wet_forest
HLZ_L2,11,Boreal_Rain_Forest
HLZ_L2,12,Cool_temperate_Desert
HLZ_L2,13,Cool_temperate_Desert_bush
HLZ_L2,14,Cool_temperate_Steppe
HLZ_L2,15,Cool_temperate_Moist_forest
HLZ_L2,16,Cool_temperate_Wet_Forest
HLZ_L2,17,Cool_temperate_Rain_Forest
HLZ_L2,18,Warm_temperate_Desert
HLZ_L2,19,Warm_temperate_Desert_bush
HLZ_L2,20,Warm_temperate_Thorn_steppe
HLZ_L2,21,Warm_temperate_Dry_forest
HLZ_L2,22,Warm_temperate_Moist_forest
HLZ_L2,23,Warm_temperate_Wet_forest
HLZ_L2,24,Warm_temperate_Rain_forest
HLZ_L2,25,Subtropical_Desert
HLZ_L2,26,Subtropical_Desert_bush
HLZ_L2,27,Subtropical_Thorn_steppe
HLZ_L2,28,Subtropical_Dry_forest
HLZ_L2,29,Subtropical_Moist_forest
HLZ_L2,30,Subtropical_Wet_forest
HLZ_L2,31,Subtropical_Rain_forest
HLZ_L2,32,Tropical_Desert
HLZ_L2,33,Tropical_Desert_bush
HLZ_L2,34,Tropical_Thorn_steppe
HLZ_L2,35,Tropical_Very_dry_forest
HLZ_L2,36,Tropical_Dry_forest
HLZ_L2,37,Tropical_Moist_forest
HLZ_L2,38,Tropical_Wet_forest
