resposta,sistema,nivel,coluna,classe,n,mediana,media
log_soc,Köppen IPEF (referência),L1,koppen_ipef_l1,A,7221,36.0,47.25522157595901
log_soc,Köppen IPEF (referência),L1,koppen_ipef_l1,B,460,25.305,28.559608695652173
log_soc,Köppen IPEF (referência),L1,koppen_ipef_l1,C,4526,48.405,59.47840145824127
log_soc,Köppen IPEF (referência),L2,koppen_ipef_l2,Af,485,44.03,53.63120618556702
log_soc,Köppen IPEF (referência),L2,koppen_ipef_l2,Am,4163,34.550000000000004,43.99002161902474
log_soc,Köppen IPEF (referência),L2,koppen_ipef_l2,As,860,31.72,40.289563953488376
log_soc,Köppen IPEF (referência),L2,koppen_ipef_l2,Aw,1713,38.97,56.882273788674844
log_soc,Köppen IPEF (referência),L2,koppen_ipef_l2,Bs,460,25.305,28.559608695652173
log_soc,Köppen IPEF (referência),L2,koppen_ipef_l2,Cf,3560,47.71,57.80520224719102
log_soc,Köppen IPEF (referência),L2,koppen_ipef_l2,Cs,1,,
log_soc,Köppen IPEF (referência),L2,koppen_ipef_l2,Cw,965,50.515,65.65080310880829
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Af,485,44.03,53.63120618556702
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Am,4163,34.550000000000004,43.99002161902474
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,As,860,31.72,40.289563953488376
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Aw,1713,38.97,56.882273788674844
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Bsh,460,25.305,28.559608695652173
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Cfa,2590,43.505,50.052366795366794
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Cfb,970,66.95,78.50607216494845
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Csa,1,,
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Cwa,403,46.14,49.821563275434244
log_soc,Köppen IPEF (referência),L3,koppen_ipef_l3,Cwb,562,54.5,77.00166370106761
log_soc,Köppen CHELSA,L1,koppen_chelsa_l1,A,7931,36.82,48.47821270962048
log_soc,Köppen CHELSA,L1,koppen_chelsa_l1,B,518,25.795,29.74880308880309
log_soc,Köppen CHELSA,L1,koppen_chelsa_l1,C,3758,49.47,59.5199667376264
log_soc,Köppen CHELSA,L2,koppen_chelsa_l2,Af,399,43.74,54.72305764411028
log_soc,Köppen CHELSA,L2,koppen_chelsa_l2,Am,1107,37.71,49.11356820234869
log_soc,Köppen CHELSA,L2,koppen_chelsa_l2,As,329,34.46,49.88550151975684
log_soc,Köppen CHELSA,L2,koppen_chelsa_l2,Aw,6096,36.345,47.87814222440945
log_soc,Köppen CHELSA,L2,koppen_chelsa_l2,BS,492,26.415,30.17184959349594
log_soc,Köppen CHELSA,L2,koppen_chelsa_l2,BW,26,20.560000000000002,21.74346153846154
log_soc,Köppen CHELSA,L2,koppen_chelsa_l2,Cf,3302,48.525000000000006,58.978578134463966
log_soc,Köppen CHELSA,L2,koppen_chelsa_l2,Cw,456,54.5,63.440285087719296
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,Af,399,43.74,54.72305764411028
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,Am,1107,37.71,49.11356820234869
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,As,329,34.46,49.88550151975684
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,Aw,6096,36.345,47.87814222440945
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,BSh,492,26.415,30.17184959349594
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,BWh,26,20.560000000000002,21.74346153846154
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,Cfa,2483,44.71,51.289210632299636
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,Cfb,819,69.93,82.29078754578754
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,Cwa,258,50.019999999999996,54.11802325581396
log_soc,Köppen CHELSA,L3,koppen_chelsa_l3,Cwb,198,61.93000000000001,75.58747474747474
log_soc,Holdridge ETP Penman,L1,holdridge_l1,Subtropical,5618,42.875,55.24681025275899
log_soc,Holdridge ETP Penman,L1,holdridge_l1,Temperado frio,21,141.38,152.37142857142857
log_soc,Holdridge ETP Penman,L1,holdridge_l1,Temperado quente,960,68.86500000000001,82.28826041666666
log_soc,Holdridge ETP Penman,L1,holdridge_l1,Tropical,5608,34.44,41.1899982168331
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,15 Cool temperate moist forest,2,,
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,16 Cool temperate wet forest,19,137.42000000000002,147.07263157894738
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,21 Warm temperate dry forest,2,,
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,22 Warm temperate moist forest,866,66.535,76.2775519630485
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,23 Warm temperate wet forest,92,110.875,140.18902173913042
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,26 Subtropical desert bush,67,20.89,24.639701492537316
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,27 Subtropical thorn steppe,280,32.205,34.78521428571429
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,28 Subtropical dry forest,2384,41.3,60.551507969798664
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,29 Subtropical moist forest,2875,45.21,53.59087130434783
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,30 Subtropical wet forest,12,40.120000000000005,46.4425
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,34 Tropical thorn steppe,21,21.77,24.385238095238098
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,35 Tropical very dry forest,695,27.55,30.170776978417265
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,36 Tropical dry forest,1397,33.82,43.7056012884753
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,37 Tropical moist forest,3382,35.765,41.969392371377886
log_soc,Holdridge ETP Penman,L2,holdridge_etpm_l2,38 Tropical wet forest,113,49.93,57.65946902654868
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,16 Cool temperate wet forest,17,152.3,163.05117647058822
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,17 Cool temperate rain forest,4,,
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,21 Warm temperate dry forest,1,,
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,22 Warm temperate moist forest,632,67.11500000000001,77.84609968354431
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,23 Warm temperate wet forest,325,72.93,91.32386153846154
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,27 Subtropical thorn steppe,154,21.78,25.466753246753246
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,28 Subtropical dry forest,1487,40.35,61.87620040349697
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,29 Subtropical moist forest,3908,44.35,53.7292374616172
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,30 Subtropical wet forest,69,56.67,64.45057971014494
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,35 Tropical very dry forest,386,27.145000000000003,29.430829015544038
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,36 Tropical dry forest,876,32.269999999999996,39.58658105022831
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,37 Tropical moist forest,4270,35.405,42.2392962529274
log_soc,Holdridge ETP Holdridge,L2,holdridge_eth_l2,38 Tropical wet forest,78,55.8,60.26564102564103
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,A,244,72.42,96.77729508196721
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,B1,2733,38.34,44.338066227588726
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,B2,1294,52.125,61.38022797527048
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,B3,659,58.660000000000004,67.71276176024278
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,B4,161,62.1,69.53453416149068
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,C1,1810,39.0,59.21586740331492
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,C2,3601,37.53,47.2488364343238
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,D,1421,33.1,41.479718508092894
log_soc,Thornthwaite CAD 100 mm,L1,th100_l1,E,284,22.450000000000003,25.587253521126758
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,Ar,232,72.92,98.96883620689655
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,As,12,44.745000000000005,54.4075
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B1r,1162,42.595,49.36905765920826
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B1s,11,39.24,52.22
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B1w,1554,35.315,40.53984555984556
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B1w2,6,34.410000000000004,39.29166666666667
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B2r,1128,54.425,63.36443705673759
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B2s,5,55.78,61.874
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B2w,160,38.84,47.5858125
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B2w2,1,,
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B3r,644,58.585,67.9644099378882
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B3s,3,,
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B3w,12,62.315,60.11833333333333
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B4r,160,61.97,69.44493750000001
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,B4w,1,,
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,C1d,1175,38.59,61.873948936170216
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,C1s,26,26.240000000000002,32.42923076923077
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,C1w,529,42.11,58.04964083175804
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,C1w2,80,33.84,36.592625000000005
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,C2r,967,39.24,44.66097724922441
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,C2s,30,51.36750000000001,54.58433333333333
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,C2w,2357,37.18,48.958152312261355
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,C2w2,247,34.78,40.178137651821864
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,Dd,1412,33.115,41.54287535410765
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,Dw,9,29.95,31.571111111111108
log_soc,Thornthwaite CAD 100 mm,L2,th100_l2,Ed,284,22.450000000000003,25.587253521126758
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,ArA'a',205,73.0,99.64746341463415
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,ArB3'a',1,,
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,ArB4'a',26,72.095,95.94807692307693
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,AsA'a',12,44.745000000000005,54.4075
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B1rA'a',1157,42.75,49.34428262748487
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B1rB4'a',5,41.83,55.102
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B1sA'a',11,39.24,52.22
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B1w2A'a',6,34.410000000000004,39.29166666666667
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B1wA'a',1554,35.315,40.53984555984556
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B2rA'a',1089,54.47,63.635312213039484
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B2rB4'a',39,48.5,55.800769230769234
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B2sA'a',5,55.78,61.874
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B2w2A'a',1,,
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B2wA'a',160,38.84,47.5858125
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B3rA'a',600,58.2,67.36665833333333
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B3rB4'a',44,62.81999999999999,76.11556818181818
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B3sA'a',3,,
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B3wA'a',12,62.315,60.11833333333333
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B4rA'a',141,62.59,68.42163120567376
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B4rB4'a',19,60.39,77.03894736842105
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,B4wA'a',1,,
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,C1dA'a',1175,38.59,61.873948936170216
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,C1sA'a',26,26.240000000000002,32.42923076923077
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,C1w2A'a',80,33.84,36.592625000000005
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,C1wA'a',529,42.11,58.04964083175804
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,C2rA'a',967,39.24,44.66097724922441
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,C2sA'a',30,51.36750000000001,54.58433333333333
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,C2w2A'a',247,34.78,40.178137651821864
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,C2wA'a',2357,37.18,48.958152312261355
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,DdA'a',1412,33.115,41.54287535410765
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,DwA'a',9,29.95,31.571111111111108
log_soc,Thornthwaite CAD 100 mm,L3,th100_l3,EdA'a',284,22.450000000000003,25.587253521126758
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,A,247,72.65,96.51538461538462
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,B1,2721,38.38,44.103974641675855
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,B2,1286,52.125,61.439109642301716
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,B3,652,59.18000000000001,68.19222392638036
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,B4,158,61.97,69.42670886075949
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,C1,1819,38.99,59.37857064321055
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,C2,3620,37.46,47.209828729281774
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,D,1420,33.225,41.62181690140845
log_soc,Thornthwaite CAD do solo,L1,thsolo_l1,E,284,22.450000000000003,25.587253521126758
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,Ar,239,72.84,97.72384937238493
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,As,8,55.660000000000004,60.4125
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B1r,1345,41.300000000000004,47.85163197026022
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B1s,11,39.24,52.22
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B1w,1358,35.485,40.36054491899853
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B1w2,7,26.68,37.49
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B2r,1142,54.11,62.996396672504375
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B2s,5,55.78,61.874
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B2w,138,40.019999999999996,48.6722463768116
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B2w2,1,,
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B3r,639,59.15,68.38885758998435
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B3s,3,,
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B3w,10,62.519999999999996,62.864
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B4r,157,61.84,69.33471337579618
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,B4w,1,,
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,C1d,1214,38.955,62.38986820428336
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,C1s,27,30.93,34.90481481481482
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,C1w,509,40.800000000000004,57.12791748526523
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,C1w2,69,29.560000000000002,32.576521739130435
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,C2r,1004,39.34,44.785453187250994
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,C2s,28,51.36750000000001,54.63464285714286
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,C2w,2366,37.004999999999995,48.84872147083686
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,C2w2,222,33.505,39.7709009009009
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,Dd,1410,33.225,41.663425531914896
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,Dw,10,28.725,35.755
log_soc,Thornthwaite CAD do solo,L2,thsolo_l2,Ed,284,22.450000000000003,25.587253521126758
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,ArA'a',212,72.92,98.22150943396225
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,ArB3'a',1,,
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,ArB4'a',26,72.095,95.94807692307693
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,AsA'a',8,55.660000000000004,60.4125
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B1rA'a',1340,41.290000000000006,47.82457835820896
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B1rB4'a',5,41.83,55.102
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B1sA'a',11,39.24,52.22
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B1w2A'a',7,26.68,37.49
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B1wA'a',1358,35.485,40.36054491899853
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B2rA'a',1103,54.230000000000004,63.25082048957389
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B2rB4'a',39,48.5,55.800769230769234
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B2sA'a',5,55.78,61.874
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B2w2A'a',1,,
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B2wA'a',138,40.019999999999996,48.6722463768116
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B3rA'a',595,58.69,67.8174705882353
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B3rB4'a',44,62.81999999999999,76.11556818181818
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B3sA'a',3,,
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B3wA'a',10,62.519999999999996,62.864
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B4rA'a',138,62.345,68.27398550724638
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B4rB4'a',19,60.39,77.03894736842105
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,B4wA'a',1,,
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,C1dA'a',1214,38.955,62.38986820428336
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,C1sA'a',27,30.93,34.90481481481482
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,C1w2A'a',69,29.560000000000002,32.576521739130435
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,C1wA'a',509,40.800000000000004,57.12791748526523
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,C2rA'a',1004,39.34,44.785453187250994
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,C2sA'a',28,51.36750000000001,54.63464285714286
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,C2w2A'a',222,33.505,39.7709009009009
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,C2wA'a',2366,37.004999999999995,48.84872147083686
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,DdA'a',1410,33.225,41.663425531914896
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,DwA'a',10,28.725,35.755
log_soc,Thornthwaite CAD do solo,L3,thsolo_l3,EdA'a',284,22.450000000000003,25.587253521126758
log_soc,Zonas climáticas k10,L1,zona_k10,1,618,31.27,37.30607605177993
log_soc,Zonas climáticas k10,L1,zona_k10,10,1940,62.510000000000005,71.92339175257732
log_soc,Zonas climáticas k10,L1,zona_k10,2,1013,28.73,35.024610069101676
log_soc,Zonas climáticas k10,L1,zona_k10,3,467,43.62,54.52749464668094
log_soc,Zonas climáticas k10,L1,zona_k10,4,3417,34.11,40.53568188469417
log_soc,Zonas climáticas k10,L1,zona_k10,5,155,52.93,58.10516129032258
log_soc,Zonas climáticas k10,L1,zona_k10,6,1289,41.11,54.510880527540735
log_soc,Zonas climáticas k10,L1,zona_k10,7,963,35.21,65.12895119418484
log_soc,Zonas climáticas k10,L1,zona_k10,8,969,49.75,62.31963364293085
log_soc,Zonas climáticas k10,L1,zona_k10,9,1376,37.715,42.98521802325582
argila,Köppen IPEF (referência),L1,koppen_ipef_l1,A,7637,26.3,30.290460913971454
argila,Köppen IPEF (referência),L1,koppen_ipef_l1,B,262,16.0,18.65057251908397
argila,Köppen IPEF (referência),L1,koppen_ipef_l1,C,4079,34.0,36.796212306937974
argila,Köppen IPEF (referência),L2,koppen_ipef_l2,Af,522,23.55,26.392432950191573
argila,Köppen IPEF (referência),L2,koppen_ipef_l2,Am,4226,28.5,32.918149550402276
argila,Köppen IPEF (referência),L2,koppen_ipef_l2,As,526,18.5,22.35560836501901
