variavel,nivel,n_base,n_sem_classe,n_teste,n_classes_teste
areia,koppen_l1,12062,0,12062,3
silte,koppen_l1,12062,0,12062,3
argila,koppen_l1,12062,0,12062,3
areia,koppen_l2,12062,0,12061,7
silte,koppen_l2,12062,0,12061,7
argila,koppen_l2,12062,0,12061,7
areia,koppen_l3,12062,7708,4353,5
silte,koppen_l3,12062,7708,4353,5
argila,koppen_l3,12062,7708,4353,5
areia,HLZ_L1,12062,9,12053,2
silte,HLZ_L1,12062,9,12053,2
argila,HLZ_L1,12062,9,12053,2
areia,HLZ_L2,12062,9,12049,8
silte,HLZ_L2,12062,9,12049,8
argila,HLZ_L2,12062,9,12049,8
SOC,koppen_l1,12286,0,12286,3
SOC,koppen_l2,12286,0,12285,7
SOC,koppen_l3,12286,7285,5000,5
SOC,HLZ_L1,12286,4,12282,2
SOC,HLZ_L2,12286,4,12277,8
