variavel,nivel,n,n_classes,H,p,eta2,epsilon2,F_anova,p_anova,F_welch,p_welch,variavel_pt,comparacao_nivel
areia,koppen_l1,12053,3,1021.3930939344203,1.61178728385032e-222,0.0845969372559685,0.08474884616116996,564.3295446361238,5.2824484389522055e-235,584.2103598955869,3.635253744718926e-152,areia,1
areia,HLZ_L1,12053,2,927.2264970778544,1.1835986003192912e-203,0.07685889113582726,0.07693548764336662,1012.6488396996713,1.880489346918623e-213,1042.1514592127676,1.017452059904958e-213,areia,1
areia,koppen_l2,12048,7,1132.9472484553728,1.5505778236862128e-241,0.09359249634211218,0.09404393197106108,210.52949704396292,2.3651789290805028e-256,219.88130954435965,1.2954668717120954e-213,areia,2
areia,HLZ_L2,12048,8,1090.5477876892062,3.254688393030901e-231,0.08999566342933606,0.09052442829660548,173.2806462911063,2.4006941875682063e-245,199.02893488916507,2.6050524181530766e-136,areia,2
silte,koppen_l1,12053,3,1455.3944656975468,0.0,0.12061364860560554,0.12075958062541875,578.5194696122268,1.2418563491269079e-240,571.0686895774122,1.4183484065646221e-149,silte,1
silte,HLZ_L1,12053,2,1582.6879855676084,0.0,0.13124952166356388,0.13132160517487623,1325.1547989386202,2.2833251449993458e-275,1313.4333314776213,1.6872686472114e-263,silte,1
silte,koppen_l2,12048,7,2244.746239742227,0.0,0.18592693627956372,0.1863323848047005,386.1644885928418,0.0,370.3996358161882,1.018455831e-313,silte,2
silte,HLZ_L2,12048,8,2161.8054164482755,0.0,0.17897054953889333,0.1794476148790799,290.08613132114186,0.0,268.2657875545735,1.6393526396324262e-159,silte,2
argila,koppen_l1,12053,3,396.2052868301987,9.228159969422865e-87,0.03271413168715342,0.0328746504173746,208.86658181009923,6.71857194926544e-90,274.0331378417311,3.522274735091468e-90,argila,1
argila,HLZ_L1,12053,2,212.69009656782617,3.5561521173832565e-48,0.01756618509400267,0.017647701341505655,223.94401725601577,3.51909341433488e-50,213.89107530448197,1.0676910894929345e-47,argila,1
argila,koppen_l2,12048,7,759.7008002832705,7.826166815274301e-161,0.06259453536112204,0.06306140950305225,131.6189505444424,5.546010225496605e-162,163.8213081270195,6.154337971035074e-169,argila,2
argila,HLZ_L2,12048,8,517.4376458465189,1.4273723629716938e-107,0.04239515330951153,0.04295157681136539,77.3943992547168,2.7860271260743445e-110,104.21878803263424,1.1584814354039573e-91,argila,2
soc_g_m2,koppen_l1,12282,3,930.5438277466311,8.609446274576911e-203,0.07562047623964746,0.07577101439187615,78.83534744398568,9.554277223841397e-35,341.10316352891346,8.197050239959812e-132,SOC,1
soc_g_m2,HLZ_L1,12282,2,868.730087827284,6.161088373460709e-191,0.0706620592693228,0.07073773209244232,103.42588003476456,3.3708614196386504e-24,131.46199520933231,2.917412983375988e-30,SOC,1
soc_g_m2,koppen_l2,12276,7,1093.526272786618,5.247398069163683e-233,0.08864017220528307,0.08908564340420513,38.7526686679984,6.359938272004495e-47,123.0178852102423,2.7473943383126304e-138,SOC,2
soc_g_m2,HLZ_L2,12276,8,1237.359008194728,5.885034963927756e-263,0.10029010500446103,0.10080317785700431,54.81407915750713,1.3052470327378024e-77,156.40964392559255,3.7588221400677343e-121,SOC,2
