classe,n,media,desvio_padrao,mediana,q25,q75,variavel,nivel,unidade
A,7708,53.172658277114685,25.138892780379624,55.9,34.3,73.8,areia,koppen_l1,%
B,267,62.32022471910113,21.201687298661252,64.7,50.75,78.525,areia,koppen_l1,%
C,4087,37.627954489845855,24.6679001591592,35.0,15.0,57.35,areia,koppen_l1,%
A,7708,16.50951608718215,13.740091701121823,12.0,7.0,21.7,silte,koppen_l1,%
B,267,19.06741573033708,12.430881312832836,16.5,10.0,26.0,silte,koppen_l1,%
C,4087,25.57927575238561,13.92344906395577,24.0,15.0,34.2,silte,koppen_l1,%
A,7708,30.31517254800208,19.300623533394013,26.35,14.8,42.225,argila,koppen_l1,%
B,267,18.623595505617978,13.115171772903386,16.0,7.025,28.0,argila,koppen_l1,%
C,4087,36.79142402740396,20.849608661302494,34.0,19.0,53.75,argila,koppen_l1,%
Af,538,43.000743494423794,27.26080551152264,43.0,17.625,66.0,areia,koppen_l2,%
Am,4260,53.03349765258216,23.912568815969728,56.25,36.0875,72.0,areia,koppen_l2,%
As,529,58.50992438563327,23.03845559836659,62.0,43.0,77.0,areia,koppen_l2,%
Aw,2381,54.53422931541369,26.573605090870608,56.0,33.25,80.0,areia,koppen_l2,%
Bs,267,62.32022471910113,21.201687298661252,64.7,50.75,78.525,areia,koppen_l2,%
Cf,3085,37.71651539708266,25.5279376410961,34.0,14.0,59.0,areia,koppen_l2,%
Cs,1,76.0,,76.0,76.0,76.0,areia,koppen_l2,%
Cw,1001,37.31668331668332,21.7942997453144,37.0,18.0,53.35,areia,koppen_l2,%
Af,538,30.320724907063195,20.1508007251472,27.375,12.575,46.7875,silte,koppen_l2,%
Am,4260,13.99712441314554,11.80514741890485,10.0,7.0,17.0,silte,koppen_l2,%
As,529,19.15992438563327,12.935069885733784,17.0,9.0,26.0,silte,koppen_l2,%
Aw,2381,17.295023099538007,13.290113348843065,14.0,7.1000000000000005,24.0,silte,koppen_l2,%
Bs,267,19.06741573033708,12.430881312832836,16.5,10.0,26.0,silte,koppen_l2,%
Cf,3085,27.57294975688817,13.454155660080822,26.6,18.0,36.05,silte,koppen_l2,%
Cs,1,5.0,,5.0,5.0,5.0,silte,koppen_l2,%
Cw,1001,19.455494505494507,13.55175356845821,15.0,10.0,25.5,silte,koppen_l2,%
Af,538,26.67100371747212,16.508402727987,24.0,14.5,35.9,argila,koppen_l2,%
Am,4260,32.96661971830986,19.53853570241842,28.5,18.0,45.1,argila,koppen_l2,%
As,529,22.330907372400755,15.715813798266463,18.5,11.0,31.0,argila,koppen_l2,%
Aw,2381,28.16862662746745,19.30005079465027,24.0,11.0,42.0,argila,koppen_l2,%
Bs,267,18.623595505617978,13.115171772903386,16.0,7.025,28.0,argila,koppen_l2,%
Cf,3085,34.70893030794166,20.60375523355849,30.7,16.7,52.0,argila,koppen_l2,%
Cs,1,19.0,,19.0,19.0,19.0,argila,koppen_l2,%
Cw,1001,43.22727272727273,20.294062196971453,43.0,27.85,57.0,argila,koppen_l2,%
Bsh,267,62.32022471910113,21.201687298661252,64.7,50.75,78.525,areia,koppen_l3,%
Cfa,2301,43.06025641025641,25.671851002425743,42.5,19.8,64.0,areia,koppen_l3,%
Cfb,784,22.032908163265304,17.339496434867986,16.15,7.924999999999999,34.0,areia,koppen_l3,%
Csa,1,76.0,,76.0,76.0,76.0,areia,koppen_l3,%
Cwa,411,39.35170316301703,23.67867383645327,38.6,18.0,59.0,areia,koppen_l3,%
Cwb,590,35.89906779661017,20.27925194382595,37.0,18.0,49.650000000000006,areia,koppen_l3,%
