variavel,nivel,classe_1,classe_2,p_holm
areia,koppen_l1,A,B,1.2122218976707116e-08
areia,koppen_l1,A,C,4.6360955158603507e-206
areia,koppen_l1,B,C,1.2687724547743865e-50
silte,koppen_l1,A,B,3.0468987499678537e-06
silte,koppen_l1,A,C,0.0
silte,koppen_l1,B,C,2.725102531216373e-12
argila,koppen_l1,A,B,5.493303411373182e-23
argila,koppen_l1,A,C,4.752118198863752e-58
argila,koppen_l1,B,C,2.0091716886535e-48
areia,koppen_l2,Af,Am,8.815597993664453e-16
areia,koppen_l2,Af,As,4.483692287078873e-21
areia,koppen_l2,Af,Aw,2.3647063610130484e-19
areia,koppen_l2,Af,Bs,4.665479656404747e-22
areia,koppen_l2,Af,Cf,0.0001055739025096
areia,koppen_l2,Af,Cw,0.0001046342133488
areia,koppen_l2,Am,As,2.9985379421156167e-05
areia,koppen_l2,Am,Aw,0.0507683590680401
areia,koppen_l2,Am,Bs,8.981819103274516e-08
areia,koppen_l2,Am,Cf,2.6288243766188777e-131
areia,koppen_l2,Am,Cw,2.300863356613513e-66
areia,koppen_l2,As,Aw,0.0068152060941277
areia,koppen_l2,As,Bs,0.0924603114532969
areia,koppen_l2,As,Cf,3.2293829743373105e-62
areia,koppen_l2,As,Cw,1.298092576900633e-51
areia,koppen_l2,Aw,Bs,2.58855539998568e-05
areia,koppen_l2,Aw,Cf,1.3465629800843756e-120
areia,koppen_l2,Aw,Cw,8.829824616888473e-70
areia,koppen_l2,Bs,Cf,4.6327060779224775e-48
areia,koppen_l2,Bs,Cw,4.647421647585625e-44
areia,koppen_l2,Cf,Cw,0.3952014994545538
silte,koppen_l2,Af,Am,7.589399092158734e-97
silte,koppen_l2,Af,As,1.5726818230903802e-15
silte,koppen_l2,Af,Aw,5.1993216652033964e-46
silte,koppen_l2,Af,Bs,5.372093933230483e-10
silte,koppen_l2,Af,Cf,0.1084858552012736
silte,koppen_l2,Af,Cw,1.7518256052821522e-18
silte,koppen_l2,Am,As,5.020311276791563e-22
silte,koppen_l2,Am,Aw,2.168669522539416e-25
silte,koppen_l2,Am,Bs,5.633112782705174e-13
silte,koppen_l2,Am,Cf,0.0
silte,koppen_l2,Am,Cw,4.232015953327065e-41
silte,koppen_l2,As,Aw,0.0007793531096778
silte,koppen_l2,As,Bs,1.0
silte,koppen_l2,As,Cf,4.604566020994444e-37
silte,koppen_l2,As,Cw,1.0
silte,koppen_l2,Aw,Bs,0.0094479411965387
silte,koppen_l2,Aw,Cf,3.3470839572945463e-184
silte,koppen_l2,Aw,Cw,3.190066291859888e-07
silte,koppen_l2,Bs,Cf,2.0778475675445288e-19
silte,koppen_l2,Bs,Cw,1.0
silte,koppen_l2,Cf,Cw,3.2657328021674465e-57
argila,koppen_l2,Af,Am,5.756414024688002e-10
argila,koppen_l2,Af,As,7.257205099390895e-05
argila,koppen_l2,Af,Aw,0.5643832331594594
argila,koppen_l2,Af,Bs,4.900943333978918e-09
argila,koppen_l2,Af,Cf,6.570358392364263e-14
argila,koppen_l2,Af,Cw,9.878587888444066e-48
argila,koppen_l2,Am,As,8.271412378826233e-33
argila,koppen_l2,Am,Aw,5.5682652099630925e-25
argila,koppen_l2,Am,Bs,4.302060220562371e-32
argila,koppen_l2,Am,Cf,0.0152977852511914
argila,koppen_l2,Am,Cw,7.416357397839845e-43
argila,koppen_l2,As,Aw,8.049990175264043e-09
argila,koppen_l2,As,Bs,0.0171719292717426
argila,koppen_l2,As,Cf,3.659430655042084e-39
argila,koppen_l2,As,Cw,1.7015484451004493e-83
argila,koppen_l2,Aw,Bs,3.480151106794805e-13
argila,koppen_l2,Aw,Cf,1.0526777650335913e-33
argila,koppen_l2,Aw,Cw,6.09594861730358e-89
argila,koppen_l2,Bs,Cf,6.358312041289644e-37
argila,koppen_l2,Bs,Cw,6.971427087233838e-72
argila,koppen_l2,Cf,Cw,3.278652690098887e-30
areia,koppen_l3,Bsh,Cfa,9.653558719048601e-29
areia,koppen_l3,Bsh,Cfb,2.152031305272104e-109
areia,koppen_l3,Bsh,Cwa,1.813603407028425e-27
areia,koppen_l3,Bsh,Cwb,2.33700681282702e-39
areia,koppen_l3,Cfa,Cfb,1.8762922922723333e-93
areia,koppen_l3,Cfa,Cwa,0.0246694209781102
areia,koppen_l3,Cfa,Cwb,1.7515390613577127e-07
areia,koppen_l3,Cfb,Cwa,2.827486500633127e-31
areia,koppen_l3,Cfb,Cwb,1.1179417792249462e-27
areia,koppen_l3,Cwa,Cwb,0.070329286249365
silte,koppen_l3,Bsh,Cfa,2.7355795859302297e-18
silte,koppen_l3,Bsh,Cfb,7.796458965916477e-40
silte,koppen_l3,Bsh,Cwa,0.6275594895392458
silte,koppen_l3,Bsh,Cwb,0.6275594895392458
silte,koppen_l3,Cfa,Cfb,9.354869808984428e-19
silte,koppen_l3,Cfa,Cwa,2.2734759102182437e-33
silte,koppen_l3,Cfa,Cwb,7.471266198048573e-29
silte,koppen_l3,Cfb,Cwa,1.042372436000782e-62
silte,koppen_l3,Cfb,Cwb,1.3216312462537918e-59
silte,koppen_l3,Cwa,Cwb,0.1222496936105216
argila,koppen_l3,Bsh,Cfa,7.644000151624684e-19
argila,koppen_l3,Bsh,Cfb,4.984529185465408e-89
argila,koppen_l3,Bsh,Cwa,9.55756941363047e-50
argila,koppen_l3,Bsh,Cwb,7.013541488157299e-62
argila,koppen_l3,Cfa,Cfb,3.3549899389968304e-91
argila,koppen_l3,Cfa,Cwa,8.873008144535753e-28
argila,koppen_l3,Cfa,Cwb,2.416799569836076e-44
argila,koppen_l3,Cfb,Cwa,0.000126017180408
