resposta,cenario,descricao,r2,rmse,delta_r2_vs_A,delta_r2_min,delta_r2_max,delta_rmse_vs_A,delta_rmse_pct_vs_A
areia,A,Köppen IPEF (hoje),0.3452432325806673,21.06481856356176,0.0,0.0,0.0,0.0,0.0
areia,B,Sem clima,0.33665045209882366,21.202578454857598,-0.008592780481843643,-0.011959238334573019,-0.0060629538864716,0.1377598912958362,0.6540902438309331
areia,C,Holdridge ETH,0.33671604581615844,21.201673847333595,-0.008527186764508846,-0.011790453883014806,-0.004195566618722446,0.13685528377183212,0.6506051292035038
areia,D,Thornthwaite L2,0.342694783095957,21.10608830742601,-0.0025484494847102987,-0.006909133363186104,0.001192509053094759,0.04126974386424701,0.19775115149395228
areia,E,Clima contínuo,0.3540193857275858,20.92306661099337,0.008776153146918486,0.0075772549578264625,0.009554301417062372,-0.141751952568395,-0.6733922472342131
areia,F1,Zonas k-means (covariável),0.3518831012478015,20.957888394728066,0.0066398686671341745,0.0023415315071161347,0.012811779487169384,-0.10693016883369921,-0.5063365791690311
areia,F2,Zonas k-means (um RF por zona),0.322647504776499,21.425558691152276,-0.022595727804168336,-0.030774966237613888,-0.01570825209790838,0.3607401275905093,1.7153670504449565
areia,F3,Zonas supervisionadas (covariável),0.3497231045137368,20.992621978128593,0.004479871933069461,-0.004162181926710584,0.016577976663042504,-0.07219658543316972,-0.34047143276602077
areia,F4,Zonas supervisionadas (um RF por zona),0.3159731334947347,21.529777946814587,-0.029270099085932588,-0.050498232693054645,-0.005205217251889049,0.46495938325282066,2.2136527155800723
argila,A,Köppen IPEF (hoje),0.32782574760862654,16.4510491428531,0.0,0.0,0.0,0.0,0.0
argila,B,Sem clima,0.32929764200813744,16.433122856775384,0.0014718943995108609,-0.0034273059684636342,0.006538095009408718,-0.017926286077718363,-0.10794740675165541
argila,C,Holdridge ETH,0.3272988754917265,16.457704248604497,-0.0005268721169000937,-0.0029323573182717944,0.001820544889342468,0.006655105751397865,0.04183338542577501
argila,D,Thornthwaite L2,0.3273777282441688,16.45678381434339,-0.00044801936445778195,-0.006457036416018358,0.00798588818153112,0.005734671490287724,0.0374192622963639
argila,E,Clima contínuo,0.33187158797324,16.40198789254754,0.004045840364613455,-0.004773678531650893,0.008971743976131652,-0.04906125030555586,-0.29394777289422824
argila,F1,Zonas k-means (covariável),0.33283129312454574,16.39015851178672,0.005005545515919178,-0.0012132378917272257,0.014063565837143854,-0.06089063106638193,-0.3660596488487341
argila,F2,Zonas k-means (um RF por zona),0.29840076642286756,16.807946040716953,-0.02942498118575902,-0.04049292072797406,-0.01595462356104238,0.35689689786384804,2.176528448605815
argila,F3,Zonas supervisionadas (covariável),0.32894591114285326,16.437909338273474,0.0011201635342267258,-0.014431908251326453,0.021848197757160293,-0.013139804579624345,-0.06992663813801445
argila,F4,Zonas supervisionadas (um RF por zona),0.2916088976140477,16.887338201333307,-0.036216849994578894,-0.05962078864230691,0.005953948542229082,0.43628905848020477,2.6692543989785045
log_soc,A,Köppen IPEF (hoje),0.17359226108032547,0.6261672456482922,0.0,0.0,0.0,0.0,0.0
log_soc,B,Sem clima,0.1805328251301306,0.6235311396560371,0.006940564049805142,0.004793276804264113,0.008361226383919229,-0.0026361059922550556,-0.4211270101092642
log_soc,C,Holdridge ETH,0.17622515359220206,0.6251655969079685,0.0026328925118765945,-0.0003854234265605605,0.007773327748140546,-0.001001648740323639,-0.16025857360762635
