variavel_pt,fold,n_teste,r2_base_fold,bloco,queda_r2_media,queda_r2_dp
areia,1,2411,-0.025160383372046624,Köppen L2,0.041009099900370535,0.008481296869069201
areia,1,2411,-0.025160383372046624,Holdridge L2,0.0528504883702227,0.006662253164269695
areia,1,2411,-0.025160383372046624,Relevo,0.45403131213887793,0.021548560975090874
areia,2,2411,0.38121364035623884,Köppen L2,0.00042300230167188757,0.001425560810700833
areia,2,2411,0.38121364035623884,Holdridge L2,0.021647422091536656,0.00438251369388226
areia,2,2411,0.38121364035623884,Relevo,0.7457869894978087,0.022990611814825295
areia,3,2411,0.11890390110924798,Köppen L2,0.025629537427247766,0.006807145806936357
areia,3,2411,0.11890390110924798,Holdridge L2,0.09321800466911531,0.011346839925303796
areia,3,2411,0.11890390110924798,Relevo,0.5116522801002407,0.0219180731167911
areia,4,2410,-0.09507106078826832,Köppen L2,0.026671293961889088,0.00690681811555644
areia,4,2410,-0.09507106078826832,Holdridge L2,0.14914211265951427,0.012687991194660934
areia,4,2410,-0.09507106078826832,Relevo,0.2259081489805908,0.024216511910532666
areia,5,2410,0.20568870499996517,Köppen L2,-0.03024932432820344,0.007476908699422238
areia,5,2410,0.20568870499996517,Holdridge L2,0.07053255851399003,0.006990500945962479
areia,5,2410,0.20568870499996517,Relevo,0.4372817532950644,0.011267485171845094
silte,1,2411,-0.009569398589687417,Köppen L2,0.04124992584866053,0.007470171412055035
silte,1,2411,-0.009569398589687417,Holdridge L2,0.017093006927316922,0.0035623939195495
silte,1,2411,-0.009569398589687417,Relevo,0.2198361635106451,0.019652488799974027
silte,2,2411,0.28357960609362287,Köppen L2,0.07494806485907235,0.006019214069680508
silte,2,2411,0.28357960609362287,Holdridge L2,0.06573363428223973,0.009802993131261433
silte,2,2411,0.28357960609362287,Relevo,0.35840892219636605,0.017921158520900406
silte,3,2411,0.27359683098031684,Köppen L2,0.14545239843898777,0.013066096945342588
silte,3,2411,0.27359683098031684,Holdridge L2,0.0018226202491972599,0.007565241388633037
silte,3,2411,0.27359683098031684,Relevo,0.6703857803293041,0.029474695738162856
silte,4,2410,0.04295150342059084,Köppen L2,0.1336922525970496,0.01173645329386002
silte,4,2410,0.04295150342059084,Holdridge L2,0.012880995660180644,0.009124037297262038
silte,4,2410,0.04295150342059084,Relevo,0.22259100567661044,0.01929996740940729
silte,5,2410,-0.09654228361786577,Köppen L2,0.03144840458759497,0.011214596733038117
silte,5,2410,-0.09654228361786577,Holdridge L2,0.10735733158825922,0.014417622505850018
silte,5,2410,-0.09654228361786577,Relevo,0.24301081451749237,0.025699585236081537
argila,1,2411,0.12222244893146916,Köppen L2,0.03496181926242647,0.00553628139887114
argila,1,2411,0.12222244893146916,Holdridge L2,-0.014814797457636125,0.0028012481448257986
argila,1,2411,0.12222244893146916,Relevo,0.4172813847799663,0.02317167339788547
argila,2,2411,0.15089536949496463,Köppen L2,0.030862163771952156,0.008919661781587694
argila,2,2411,0.15089536949496463,Holdridge L2,0.000896790337888298,0.005113236911482121
argila,2,2411,0.15089536949496463,Relevo,0.45453110244695266,0.0205413209397754
argila,3,2411,0.098123562424276,Köppen L2,0.056165921305805534,0.010701630160834773
argila,3,2411,0.098123562424276,Holdridge L2,0.06253361233544344,0.006804349853778845
argila,3,2411,0.098123562424276,Relevo,0.30186938966564275,0.019758171028415594
argila,4,2410,-0.05046702798506253,Köppen L2,0.04865502002334952,0.009683372719118786
argila,4,2410,-0.05046702798506253,Holdridge L2,0.0031429945418971596,0.003268498695128033
argila,4,2410,-0.05046702798506253,Relevo,0.14798716687967978,0.01844869356653516
argila,5,2410,0.2156413823755522,Köppen L2,0.02415652891929399,0.005280598690229396
argila,5,2410,0.2156413823755522,Holdridge L2,0.014473109171012738,0.005083841984686227
argila,5,2410,0.2156413823755522,Relevo,0.418141737195094,0.016308699354833395
SOC,1,1958,0.20081116031440716,Köppen L2,0.02153677278992531,0.00418546661301141
SOC,1,1958,0.20081116031440716,Holdridge L2,0.02847073960043911,0.0034912864578532767
SOC,1,1958,0.20081116031440716,Relevo,0.09944866794508837,0.01914369486752923
SOC,1,1958,0.20081116031440716,Textura,0.517556878507978,0.02238215490711478
SOC,2,1958,0.2932489434459774,Köppen L2,0.0031444284449219594,0.0017253783116823592
SOC,2,1958,0.2932489434459774,Holdridge L2,0.015715602289724333,0.0050418203439232595
SOC,2,1958,0.2932489434459774,Relevo,0.09535892357177962,0.009496902082208828
SOC,2,1958,0.2932489434459774,Textura,0.4818851129916545,0.015707206199530224
SOC,3,1958,0.24112632844143078,Köppen L2,0.01978077826893963,0.004535474086042191
SOC,3,1958,0.24112632844143078,Holdridge L2,0.02028780756763921,0.0050044432918686065
SOC,3,1958,0.24112632844143078,Relevo,0.053635711753046024,0.010366817128896175
SOC,3,1958,0.24112632844143078,Textura,0.3941056723564328,0.016492740127794454
SOC,4,1958,0.29381950297028847,Köppen L2,0.004700255057777808,0.003209961697001557
SOC,4,1958,0.29381950297028847,Holdridge L2,0.010157577280571168,0.00415874281559065
SOC,4,1958,0.29381950297028847,Relevo,0.14261938793377604,0.01355464778364036
SOC,4,1958,0.29381950297028847,Textura,0.4038310160032335,0.021972151707665123
SOC,5,1957,0.28534937642757263,Köppen L2,0.0001773763687265728,0.002594221168951953
SOC,5,1957,0.28534937642757263,Holdridge L2,0.04155567244443645,0.005699591878752301
SOC,5,1957,0.28534937642757263,Relevo,0.10049255559689563,0.010064205913782487
SOC,5,1957,0.28534937642757263,Textura,0.35739018906020503,0.016770519253446456
