ipef_l3,chelsa_l3,n,resposta
Af,Af,328,log_soc
Af,Am,140,log_soc
Af,As,2,log_soc
Af,Aw,15,log_soc
Am,Af,14,log_soc
Am,Am,878,log_soc
Am,As,58,log_soc
Am,Aw,3213,log_soc
As,As,260,log_soc
As,Aw,481,log_soc
As,BSh,119,log_soc
Aw,Af,1,log_soc
Aw,Am,24,log_soc
Aw,As,1,log_soc
Aw,Aw,1660,log_soc
Aw,BSh,27,log_soc
BSh,As,7,log_soc
BSh,Aw,84,log_soc
BSh,BSh,343,log_soc
BSh,BWh,26,log_soc
Cfa,Af,56,log_soc
Cfa,Am,62,log_soc
Cfa,Aw,99,log_soc
Cfa,BSh,1,log_soc
Cfa,Cfa,2329,log_soc
Cfa,Cfb,22,log_soc
Cfa,Cwa,21,log_soc
Cfb,Am,1,log_soc
Cfb,Aw,1,log_soc
Cfb,Cfa,149,log_soc
Cfb,Cfb,792,log_soc
Cfb,Cwa,17,log_soc
Cfb,Cwb,10,log_soc
Csa,As,1,log_soc
Cwa,Am,2,log_soc
Cwa,Aw,374,log_soc
Cwa,BSh,2,log_soc
Cwa,Cfa,2,log_soc
Cwa,Cwa,23,log_soc
Cwb,Aw,169,log_soc
Cwb,Cfa,3,log_soc
Cwb,Cfb,5,log_soc
Cwb,Cwa,197,log_soc
Cwb,Cwb,188,log_soc
Af,Af,359,argila
Af,Am,148,argila
Af,As,2,argila
Af,Aw,13,argila
Am,Af,12,argila
Am,Am,877,argila
Am,As,38,argila
Am,Aw,3299,argila
As,As,158,argila
As,Aw,272,argila
As,BSh,96,argila
Aw,Am,315,argila
Aw,Aw,2024,argila
Aw,BSh,24,argila
BSh,As,3,argila
BSh,Aw,22,argila
BSh,BSh,210,argila
BSh,BWh,27,argila
Cfa,Af,13,argila
Cfa,Am,32,argila
Cfa,Aw,83,argila
Cfa,Cfa,2130,argila
Cfa,Cfb,20,argila
Cfa,Cwa,18,argila
Cfb,Am,1,argila
Cfb,Aw,1,argila
Cfb,Cfa,99,argila
Cfb,Cfb,656,argila
Cfb,Cwa,17,argila
Cfb,Cwb,8,argila
Csa,As,1,argila
Cwa,Am,2,argila
Cwa,Aw,382,argila
Cwa,BSh,2,argila
Cwa,Cfa,2,argila
Cwa,Cwa,23,argila
Cwb,Aw,161,argila
Cwb,Cfa,2,argila
Cwb,Cfb,4,argila
Cwb,Cwa,201,argila
Cwb,Cwb,221,argila
Af,Af,359,areia
Af,Am,148,areia
Af,As,2,areia
Af,Aw,13,areia
Am,Af,12,areia
Am,Am,877,areia
Am,As,38,areia
Am,Aw,3299,areia
As,As,158,areia
As,Aw,272,areia
As,BSh,96,areia
Aw,Am,315,areia
Aw,Aw,2024,areia
Aw,BSh,24,areia
BSh,As,3,areia
BSh,Aw,22,areia
BSh,BSh,210,areia
BSh,BWh,27,areia
Cfa,Af,13,areia
Cfa,Am,32,areia
Cfa,Aw,83,areia
Cfa,Cfa,2130,areia
Cfa,Cfb,20,areia
Cfa,Cwa,18,areia
Cfb,Am,1,areia
Cfb,Aw,1,areia
Cfb,Cfa,99,areia
Cfb,Cfb,656,areia
Cfb,Cwa,17,areia
Cfb,Cwb,8,areia
Csa,As,1,areia
Cwa,Am,2,areia
Cwa,Aw,382,areia
Cwa,BSh,2,areia
Cwa,Cfa,2,areia
Cwa,Cwa,23,areia
Cwb,Aw,161,areia
Cwb,Cfa,2,areia
Cwb,Cfb,4,areia
Cwb,Cwa,201,areia
Cwb,Cwb,221,areia
Af,Af,359,silte
Af,Am,148,silte
Af,As,2,silte
Af,Aw,13,silte
Am,Af,12,silte
Am,Am,877,silte
Am,As,38,silte
Am,Aw,3299,silte
As,As,158,silte
As,Aw,272,silte
As,BSh,96,silte
Aw,Am,315,silte
Aw,Aw,2024,silte
Aw,BSh,24,silte
BSh,As,3,silte
BSh,Aw,22,silte
BSh,BSh,210,silte
BSh,BWh,27,silte
Cfa,Af,13,silte
Cfa,Am,32,silte
Cfa,Aw,83,silte
Cfa,Cfa,2130,silte
Cfa,Cfb,20,silte
Cfa,Cwa,18,silte
Cfb,Am,1,silte
Cfb,Aw,1,silte
Cfb,Cfa,99,silte
Cfb,Cfb,656,silte
Cfb,Cwa,17,silte
Cfb,Cwb,8,silte
Csa,As,1,silte
Cwa,Am,2,silte
Cwa,Aw,382,silte
Cwa,BSh,2,silte
Cwa,Cfa,2,silte
Cwa,Cwa,23,silte
Cwb,Aw,161,silte
Cwb,Cfa,2,silte
Cwb,Cfb,4,silte
Cwb,Cwa,201,silte
Cwb,Cwb,221,silte
