resposta,grupo,n,mediana_resposta,tfrio_p10,tfrio_p25,tfrio_p50,tfrio_p75,tfrio_p90,pct_tfrio_18_19
log_soc,"IPEF C, CHELSA A",765,44.82,18.19267921447754,18.453346252441406,18.900012969970703,19.50667953491211,20.03334770202637,54.64052287581699
log_soc,"IPEF C, CHELSA C",3758,49.47,11.873343467712402,12.743345260620117,13.536678314208984,14.873345375061035,17.08667755126953,0.0
log_soc,"IPEF A, CHELSA A",7075,36.17,21.273347854614258,23.293346405029297,24.566675186157227,25.38334083557129,25.90667839050293,0.08480565371024736
argila,"IPEF C, CHELSA A",676,40.0,18.21001148223877,18.48917865753174,18.96834659576416,19.580015182495117,20.080015182495117,51.62721893491125
argila,"IPEF C, CHELSA C",3401,32.4,11.870010375976562,12.680012702941895,13.503342628479004,14.893342971801758,17.10668182373047,0.0
argila,"IPEF A, CHELSA A",7517,26.45,21.26201057434082,22.91667938232422,24.423341751098633,25.300016403198242,25.79334716796875,0.07981907675934549
areia,"IPEF C, CHELSA A",676,40.05,18.21001148223877,18.48917865753174,18.96834659576416,19.580015182495117,20.080015182495117,51.62721893491125
areia,"IPEF C, CHELSA C",3401,34.0,11.870010375976562,12.680012702941895,13.503342628479004,14.893342971801758,17.10668182373047,0.0
areia,"IPEF A, CHELSA A",7517,56.0,21.26201057434082,22.91667938232422,24.423341751098633,25.300016403198242,25.79334716796875,0.07981907675934549
silte,"IPEF C, CHELSA A",676,14.0,18.21001148223877,18.48917865753174,18.96834659576416,19.580015182495117,20.080015182495117,51.62721893491125
silte,"IPEF C, CHELSA C",3401,26.0,11.870010375976562,12.680012702941895,13.503342628479004,14.893342971801758,17.10668182373047,0.0
silte,"IPEF A, CHELSA A",7517,11.9,21.26201057434082,22.91667938232422,24.423341751098633,25.300016403198242,25.79334716796875,0.07981907675934549
