classe,n_classe,n_total,r_pb,p,p_holm,variavel_pt,nivel
koppen_l1_C,4087,12062,-0.2881487229918119,2.5325436003234264e-229,7.597630800970277e-229,areia,koppen_l1
koppen_l1_A,7708,12062,0.2588103885872986,7.626345515224854e-184,1.5252691030449709e-183,areia,koppen_l1
koppen_l1_B,267,12062,0.0821256257681276,1.6558378277958108e-19,1.6558378277958108e-19,areia,koppen_l1
koppen_l1_C,4087,12062,0.2948951647625842,1.3667019349227135e-240,4.100105804768141e-240,silte,koppen_l1
koppen_l1_A,7708,12062,-0.2887887096757147,2.227841961531912e-230,4.455683923063824e-230,silte,koppen_l1
koppen_l1_B,267,12062,-0.0059666990267721,0.5123110624571645,0.5123110624571645,silte,koppen_l1
koppen_l1_C,4087,12062,0.1620109161446483,9.891446290515313e-72,2.967433887154594e-71,argila,koppen_l1
koppen_l1_A,7708,12062,-0.1283572156477361,1.758600032804168e-45,3.517200065608336e-45,argila,koppen_l1
koppen_l1_B,267,12062,-0.1021873810072711,2.28341582243909e-29,2.28341582243909e-29,argila,koppen_l1
koppen_l2_Cf,3085,12061,-0.2339302309140891,1.330854891558681e-149,9.315984240910763e-149,areia,koppen_l2
koppen_l2_Am,4260,12061,0.1398591845516331,9.666428153585116e-54,5.79985689215107e-53,areia,koppen_l2
koppen_l2_Cw,1001,12061,-0.1246636796569461,5.601807150620833e-43,2.8009035753104162e-42,areia,koppen_l2
koppen_l2_Aw,2381,12061,0.1224513950005989,1.6209335140642158e-41,6.483734056256863e-41,areia,koppen_l2
koppen_l2_As,529,12061,0.0855849412261094,4.70997921516858e-21,1.4129937645505734e-20,areia,koppen_l2
koppen_l2_Bs,267,12061,0.0821429741225384,1.6326843945978238e-19,3.265368789195648e-19,areia,koppen_l2
koppen_l2_Af,538,12061,-0.0423664957385717,3.249168305380737e-06,3.249168305380737e-06,areia,koppen_l2
koppen_l2_Cf,3085,12061,0.3225066769391574,5.790539798030374e-290,4.053377858621262e-289,silte,koppen_l2
koppen_l2_Am,4260,12061,-0.2892087483883647,4.704397942920503e-231,2.8226387657523013e-230,silte,koppen_l2
koppen_l2_Af,538,12061,0.1600419063206221,5.140923330801706e-70,2.5704616654008526e-69,silte,koppen_l2
koppen_l2_Aw,2381,12061,-0.0806703630071013,7.121874934771635e-19,2.848749973908654e-18,silte,koppen_l2
koppen_l2_As,529,12061,-0.0071378093599521,0.4331449110539326,1.0,silte,koppen_l2
koppen_l2_Bs,267,12061,-0.0059796245918031,0.511415232101583,1.0,silte,koppen_l2
koppen_l2_Cw,1001,12061,-0.0038594498366636,0.6717026322901253,1.0,silte,koppen_l2
koppen_l2_Cw,1001,12061,0.164564795158017,5.629710676294716e-74,3.940797473406301e-73,argila,koppen_l2
koppen_l2_As,529,12061,-0.1059018468089845,1.9927031619085587e-31,1.1956218971451352e-30,argila,koppen_l2
koppen_l2_Bs,267,12061,-0.1021975633497466,2.2663786824849196e-29,1.1331893412424596e-28,argila,koppen_l2
koppen_l2_Aw,2381,12061,-0.1009297945293962,1.1016176874962094e-28,4.406470749984838e-28,argila,koppen_l2
