variavel,nivel,n,n_classes,H,p,eta2,epsilon2,F_anova,p_anova,F_welch,p_welch,variavel_pt,p_holm_omnibus
areia,koppen_l1,12062,3,1022.465128179401,9.430146650147895e-223,0.0846226990778174,0.0847744903556422,564.9498962188582,2.9436763477154013e-235,584.7213028910419,3.017120207523931e-152,areia,1.1316175980177478e-221
silte,koppen_l1,12062,3,1456.0429539924446,0.0,0.1205774072470722,0.1207232363810997,579.1589367554512,6.803257995808228e-241,571.5463260404678,1.191669488820049e-149,silte,0.0
argila,koppen_l1,12062,3,396.5213090860398,7.8793746963184495e-87,0.0327159224716842,0.0328763211247856,209.06871597165983,5.512016062924201e-90,274.1507920868023,3.3061812438915142e-90,argila,1.5758749392636897e-86
areia,koppen_l2,12061,7,1134.525585907857,7.062671769602007e-242,0.0936224975865154,0.0940734316673181,210.83966811317688,9.903096111392422e-257,220.14404189255436,5.223061406743124e-214,areia,1.059400765440301e-240
silte,koppen_l2,12061,7,2245.521333277159,0.0,0.1857907195351882,0.1861957987792006,386.3643907688331,0.0,370.33962109959054,4.4555247516e-314,silte,0.0
argila,koppen_l2,12061,7,762.0497404716776,2.433087023740941e-161,0.0627218965050338,0.0631882040192104,132.06372141189922,1.5754750589582856e-162,164.27976910024952,1.8688359188479617e-169,argila,1.7031609166186588e-160
areia,koppen_l3,4353,5,651.0068618780247,1.411054707204688e-139,0.1488056260069054,0.1495879737771196,192.30220444575085,5.236030218354194e-152,274.03811129801363,3.484690413963052e-163,areia,7.05527353602344e-139
silte,koppen_l3,4353,5,489.0622439348573,1.554496055243866e-104,0.1115598537108687,0.1123764347276786,101.82447049250482,5.362792497944043e-83,115.82717253222322,3.2563608362789516e-82,silte,4.663488165731598e-104
argila,koppen_l3,4353,5,746.5209893540331,2.9390084625386484e-160,0.1707729966315623,0.1715351538037759,204.45236442439167,6.5559937457776415e-161,272.6612257136208,1.9552032352164152e-163,argila,1.7634050775231888e-159
areia,HLZ_L1,12053,2,927.2264970778544,1.1835986003192912e-203,0.0768588911358272,0.0769354876433666,1012.6488396996712,1.8804893469186232e-213,1042.1514592127676,1.0174520599049582e-213,areia,1.3019584603512203e-202
silte,HLZ_L1,12053,2,1582.6879855676084,0.0,0.1312495216635638,0.1313216051748762,1325.1547989386202,2.2833251449993458e-275,1313.433331477621,1.6872686472113997e-263,silte,0.0
argila,HLZ_L1,12053,2,212.69009656782617,3.5561521173832565e-48,0.0175661850940026,0.0176477013415056,223.94401725601577,3.51909341433488e-50,213.891075304482,1.0676910894929344e-47,argila,3.5561521173832565e-48
areia,HLZ_L2,12049,8,1089.5601091936269,5.321071757809377e-231,0.0899061630424073,0.0904349360220473,173.12511423684867,3.91993013884626e-245,198.8244085204444,2.948479395051451e-136,areia,6.91739328515219e-230
silte,HLZ_L2,12049,8,2161.954519245415,0.0,0.1789680690345831,0.1794450962189089,290.1358129338375,0.0,268.3077904972991,1.4722852961860579e-159,silte,0.0
argila,HLZ_L2,12049,8,516.4817900436844,2.2913898985115e-107,0.0423122489862706,0.0428686744724173,77.23231402239547,4.768583124906131e-110,104.05483326490656,1.405103035451713e-91,argila,9.165559594045997e-107
soc_g_m2,koppen_l1,12286,3,929.243551587533,1.6494023184206934e-202,0.0754899903596461,0.0756405007397259,78.74773329993945,1.0415876528291687e-34,341.1393771874036,8.039910431582025e-132,SOC,1.6494023184206937e-201
soc_g_m2,koppen_l2,12285,7,1092.2350777631043,9.983874716618416e-233,0.0884700340253383,0.0889152619475011,38.69476279814615,7.514540828789347e-47,123.0148146352087,2.5567074646787616e-138,SOC,1.3977424603265778e-231
soc_g_m2,koppen_l3,5000,5,918.541693138028,1.6003652171427042e-197,0.1830914300576632,0.1837450876451346,97.1677374868232,9.599092221861416e-80,216.11996281475075,9.862787481840469e-147,SOC,1.4403286954284338e-196
soc_g_m2,HLZ_L1,12282,2,868.730087827284,6.161088373460709e-191,0.0706620592693228,0.0707377320924423,103.42588003476456,3.3708614196386504e-24,131.46199520933231,2.917412983375988e-30,SOC,4.928870698768567e-190
soc_g_m2,HLZ_L2,12277,8,1237.8810339249671,4.537846709656793e-263,0.100324479087535,0.1008374905445558,54.82033835011514,1.2778721028258736e-77,156.4419698891044,3.4693200816919567e-121,SOC,7.260554735450869e-262
