alvo,esquema,modelo,fold,n_treino,n_teste,R2,RMSE_log,blocos_treino,blocos_teste
SOC,aleatoria,OLS,1,7832,1959,0.26749772836390395,0.5480313837195471,,
SOC,aleatoria,OLS,2,7833,1958,0.2655880146622336,0.5634343502329578,,
SOC,aleatoria,OLS,3,7833,1958,0.2712648365466759,0.5417935537176396,,
SOC,aleatoria,OLS,4,7833,1958,0.26950115213700865,0.5717752608024245,,
SOC,aleatoria,OLS,5,7833,1958,0.26859619797571,0.5552850237938931,,
SOC,aleatoria,RandomForest,1,7832,1959,0.3871325339493502,0.5012844414435627,,
SOC,aleatoria,RandomForest,2,7833,1958,0.42042347424949367,0.5005285289350137,,
SOC,aleatoria,RandomForest,3,7833,1958,0.41616877191673596,0.4849451619627965,,
SOC,aleatoria,RandomForest,4,7833,1958,0.4243275180869399,0.5075786285775417,,
SOC,aleatoria,RandomForest,5,7833,1958,0.4092809719661815,0.4990313550528938,,
SOC,espacial_1grau,OLS,1,7832,1959,0.21994989597448233,0.5656164428277416,512.0,122.0
SOC,espacial_1grau,OLS,2,7833,1958,0.21795566798177934,0.5469874589208077,507.0,127.0
SOC,espacial_1grau,OLS,3,7833,1958,0.31225539129419444,0.5522138790437171,506.0,128.0
SOC,espacial_1grau,OLS,4,7833,1958,0.2528906813251911,0.5440708155943761,506.0,128.0
SOC,espacial_1grau,OLS,5,7833,1958,0.17850264725080556,0.6102767245197004,505.0,129.0
SOC,espacial_1grau,RandomForest,1,7832,1959,0.2699600227605411,0.5471848923153582,512.0,122.0
SOC,espacial_1grau,RandomForest,2,7833,1958,0.24498549578636575,0.5374515628766495,507.0,127.0
SOC,espacial_1grau,RandomForest,3,7833,1958,0.32726301305860506,0.5461555777366587,506.0,128.0
SOC,espacial_1grau,RandomForest,4,7833,1958,0.2889790636689904,0.5307677763634682,506.0,128.0
SOC,espacial_1grau,RandomForest,5,7833,1958,0.24516728785344022,0.5849908576958369,505.0,129.0
SOC,espacial_2graus,OLS,1,7832,1959,0.16458835401060845,0.5352201457034141,159.0,38.0
SOC,espacial_2graus,OLS,2,7833,1958,0.30362284395278705,0.5963519235457816,158.0,39.0
SOC,espacial_2graus,OLS,3,7833,1958,0.2763450372160482,0.555560282309042,157.0,40.0
SOC,espacial_2graus,OLS,4,7833,1958,0.22777165765952967,0.5592521717809927,157.0,40.0
SOC,espacial_2graus,OLS,5,7833,1958,0.24707555305534,0.5606953239743008,157.0,40.0
SOC,espacial_2graus,RandomForest,1,7832,1959,0.22294278343809648,0.5161889321208092,159.0,38.0
SOC,espacial_2graus,RandomForest,2,7833,1958,0.27240415172433274,0.6095726492315913,158.0,39.0
SOC,espacial_2graus,RandomForest,3,7833,1958,0.27823545931407856,0.5548341557154197,157.0,40.0
SOC,espacial_2graus,RandomForest,4,7833,1958,0.27647157761323293,0.5413306393208686,157.0,40.0
SOC,espacial_2graus,RandomForest,5,7833,1958,0.22844191171787187,0.5675910635757224,157.0,40.0
SOC,espacial_5graus,OLS,1,7716,2075,0.36371602643045653,0.49279380256024097,43.0,1.0
SOC,espacial_5graus,OLS,2,7863,1928,0.10018364960280235,0.5817364034205974,38.0,6.0
SOC,espacial_5graus,OLS,3,7862,1929,0.23799535975314556,0.5698557884833122,32.0,12.0
SOC,espacial_5graus,OLS,4,7862,1929,0.19543864557536483,0.6038415943749363,32.0,12.0
SOC,espacial_5graus,OLS,5,7861,1930,0.19486608802990524,0.5629235232553141,31.0,13.0
SOC,espacial_5graus,RandomForest,1,7716,2075,0.33371978876048614,0.5042758876756772,43.0,1.0
SOC,espacial_5graus,RandomForest,2,7863,1928,0.06674377618948979,0.5924473330691836,38.0,6.0
SOC,espacial_5graus,RandomForest,3,7862,1929,0.2277952839275179,0.5736571103568194,32.0,12.0
SOC,espacial_5graus,RandomForest,4,7862,1929,0.19067767068189712,0.6056255690769546,32.0,12.0
SOC,espacial_5graus,RandomForest,5,7861,1930,0.2516734655290893,0.5427013600438223,31.0,13.0
