Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes,etp_mes
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,1,24.950012,90.0,159.89
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,1,26.650024,294.0,160.92
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,1,23.75,109.0,166.29
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,1,27.25,367.0,141.58
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,1,26.850006,170.0,121.81
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,1,28.150024,92.0,184.20999
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,1,28.350006,73.0,175.08
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,1,25.550018,141.0,154.54
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,1,25.75,176.0,146.45999
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,1,26.150024,97.0,176.61
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,1,27.550018,41.0,182.06999
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,1,26.050018,25.0,185.44
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,1,18.650024,332.0,163.5
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,1,28.350006,186.0,178.78
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,1,23.25,496.0,129.26
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,1,18.25,530.0,115.06
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,1,27.450012,155.0,163.18
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,1,24.650024,349.0,171.67
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,1,26.050018,213.0,192.78
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,1,25.450012,125.0,175.83
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,1,23.150024,285.0,148.02
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,1,21.050018,337.0,121.89
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,1,25.650024,415.0,120.96
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,1,27.050018,282.0,141.75
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,1,26.050018,224.0,118.619995
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,2,25.550018,177.0,152.70999
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,2,27.350006,204.0,151.06999
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,2,24.550018,70.0,164.17
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,2,27.650024,317.0,133.42
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,2,27.350006,296.0,119.68
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,2,29.25,104.0,182.48
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,2,29.350006,38.0,168.06999
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,2,27.150024,67.0,159.3
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,2,26.350006,65.0,144.27
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,2,27.350006,64.0,163.55
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,2,27.950012,5.0,158.39
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,2,26.950012,15.0,168.81
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,2,18.650024,104.0,155.23999
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,2,28.950012,88.0,163.31999
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,2,24.550018,250.0,134.67
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,2,18.550018,231.0,120.979996
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,2,27.950012,93.0,144.36
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,2,25.650024,128.0,156.62
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,2,26.25,234.0,159.26999
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,2,25.950012,140.0,147.16
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,2,23.650024,164.0,132.17
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,2,22.25,191.0,118.96999
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,2,27.25,264.0,126.57
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,2,27.550018,220.0,128.78
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,2,26.550018,171.0,110.84
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,3,25.050018,163.0,147.08
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,3,27.050018,495.0,152.98
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,3,23.950012,187.0,151.73999
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,3,27.850006,258.0,155.23999
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,3,27.650024,214.0,137.15
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,3,29.25,103.0,180.23
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,3,29.25,116.0,179.06
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,3,27.450012,87.0,169.37999
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,3,27.050018,75.0,165.25
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,3,26.25,187.0,152.78
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,3,27.550018,150.0,159.43
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,3,24.850006,239.0,135.95999
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,3,17.850006,516.0,130.16
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,3,26.75,309.0,138.03
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,3,22.950012,139.0,127.189995
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,3,17.350006,195.0,114.47
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,3,28.450012,64.0,169.87999
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,3,23.650024,12.0,144.84999
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,3,24.550018,104.0,151.86
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,3,24.75,139.0,153.79
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,3,22.450012,148.0,135.87999
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,3,20.150024,195.0,111.479996
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,3,24.850006,286.0,116.439995
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,3,27.650024,283.0,144.97
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,3,26.650024,195.0,131.25
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,4,24.650024,159.0,133.20999
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,4,27.850006,181.0,152.39
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,4,23.850006,44.0,144.68
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,4,27.050018,379.0,112.049995
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,4,26.850006,495.0,97.009995
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,4,27.050018,439.0,151.69
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,4,27.950012,318.0,151.43
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,4,26.050018,109.0,148.12999
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,4,26.25,125.0,135.92
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,4,25.950012,112.0,133.31
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,4,25.75,132.0,122.79
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,4,24.150024,18.0,125.82
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,4,15.450012,233.0,104.009995
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,4,24.550018,231.0,104.99
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,4,20.350006,109.0,93.17
