Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010,1,24.700000000000003,122.0
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010,1,25.6,59.0
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010,1,27.85,77.0
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010,1,25.1,94.0
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010,1,24.55,180.0
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010,1,24.5,116.0
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,1,24.6,31.0
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010,1,28.300000000000004,117.0
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010,1,26.85,360.0
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010,1,26.950000000000003,455.0
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010,1,27.700000000000003,274.0
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010,1,26.0,65.0
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010,1,24.3,118.0
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,1,26.1,487.0
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010,1,24.650000000000002,219.0
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,1,23.300000000000004,267.0
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010,1,20.85,345.0
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,1,28.0,269.0
PORTO VELHO,RO,-8.793610572814941,-63.84583282470703,86.7,A925,2010,1,26.450000000000003,427.0
SANTA MARIA,RS,-29.725000381469727,-53.720556,105.0,A803,2010,1,25.55,191.0
URUGUAIANA,RS,-29.84000015258789,-57.08194351196289,74.29,A809,2010,1,26.650000000000002,212.0
RIO NEGRINHO,SC,-26.248611450195312,-49.574167,856.0,A862,2010,1,21.3,293.0
CAMPOS DO JORDAO,SP,-22.75027847290039,-45.603889,1662.95,A706,2010,1,20.1,616.0
