Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,1,23.874308809670083,203.94673010724773
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,1,25.6103980443811,278.09060177224865
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,1,23.658656507922785,245.2164795102476
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,1,26.72499975389053,217.61806866544475
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,1,26.046656339912033,337.4231513442396
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,1,26.978569982385125,149.58839675801983
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,1,27.883945801437562,97.32343813794841
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,1,24.332064606041058,136.26376351732006
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,1,24.953389370826017,89.43223020452251
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,1,25.478050199119025,90.66425821202984
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,1,26.600490660308537,62.9490520657896
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,1,24.87148412889053,31.957527607858083
PICO DO COUTO,RJ,-22.464722,-43.291389,1777.0,A610,2010,1,24.066920011787033,239.8146744670271
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010,1,27.42870229085287,142.87451466935863
SAO PAULO - MIRANTE,SP,-23.496289,-46.620067,785.64,A701,2010,1,22.696010023547785,310.8249809445738
CAMPOS DO JORDAO,SP,-22.750278,-45.603889,1662.95,A706,2010,1,19.87661108201553,274.26209113019695
CORUMBA,MS,-18.996667,-57.6375,111.73,A724,2010,1,27.456001412996727,209.92129108327617
SANTA MARIA,RS,-29.725,-53.720556,105.0,A803,2010,1,23.766650669549108,198.6745204629301
URUGUAIANA,RS,-29.84,-57.081944,74.29,A809,2010,1,25.547008112425488,234.44167336839428
MAL. CANDIDO RONDON,PR,-24.533333,-54.019167,392.07,A820,2010,1,25.58512030160557,124.90355035680523
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010,1,23.46825307210287,280.4277445973753
RIO NEGRINHO,SC,-26.248611,-49.574167,856.0,A862,2010,1,20.895412535308537,277.1231587828993
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010,1,24.226354340584066,407.5672980250715
CUIABA,MT,-15.606944,-56.060833,184.0,A901,2010,1,26.510547153924108,350.55751165765514
PORTO VELHO,RO,-8.793611,-63.845833,86.7,A925,2010,1,25.739535309166058,406.91498479264965
GOIANIA,GO,-16.642778,-49.220278,727.3,A002,2010,2,24.280373577844557,203.1347657652205
PALMAS,TO,-10.147778,-48.314444,267.0,A009,2010,2,26.71932679585052,211.95792212203202
POSSE,GO,-14.089167,-46.366389,830.0,A017,2010,2,24.71905359086537,126.56972362712082
BELEM,PA,-1.411111,-48.439444,21.17,A201,2010,2,27.105037012554362,240.81406547740158
ITAITUBA,PA,-4.276944,-55.993056,24.46,A231,2010,2,26.71359530403504,197.75578930094895
CABROBO,PE,-8.503889,-39.315278,342.74,A329,2010,2,28.45928796586537,54.63824226573166
MORADA NOVA,CE,-5.091111,-38.364722,93.0,A332,2010,2,28.939070796966575,32.71575822547135
CAMPOS SALES,CE,-7.077778,-40.362778,577.95,A347,2010,2,26.287101977212103,38.78881587699112
PALMARES,PE,-8.666667,-35.568056,164.01,A357,2010,2,25.71774569466004,61.433335682899326
BARREIRAS,BA,-12.124722,-45.026944,474.17,A402,2010,2,26.985396480560325,71.81749298289475
FEIRA DE SANTANA,BA,-12.196111,-38.9675,229.64,A413,2010,2,27.27840592066451,45.129125854522556
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010,2,26.57021790913177,17.353748819381565
