Nome,UF,Latitude,Longitude,Altitude,Codigo,ano,mes,tmed,pr_mes,etp_mes
BARREIRAS,BA,-12.12472152709961,-45.026944,474.17,A402,2010.0,1.0,25.714971608258068,103.63820113999975,149.75590445200004
FEIRA DE SANTANA,BA,-12.196110725402832,-38.967498779296875,229.64,A413,2010.0,1.0,27.646734494451618,40.279483184999776,161.681101218
MORADA NOVA,CE,-5.091111183166504,-38.364722,93.0,A332,2010.0,1.0,28.33269224877419,139.6538590649997,156.1023611
CAMPOS SALES,CE,-7.077777862548828,-40.36277770996094,577.95,A347,2010.0,1.0,25.42608925883871,79.76967359999975,140.082676174
POSSE,GO,-14.089166641235352,-46.366389,830.0,A017,2010.0,1.0,24.955690662193547,140.45725886999983,143.92125882399998
GOIANIA,GO,-16.642778396606445,-49.220278,727.3,A002,2010.0,1.0,26.033624276129032,154.87038870499987,132.354329772
MONTES CLAROS,MG,-16.686389,-43.843889,645.87,A506,2010.0,1.0,25.40624237987097,55.743212764999726,160.70866027999998
CORUMBA,MS,-18.996667,-57.63750076293945,111.73,A724,2010.0,1.0,28.36011953290323,113.12793216999972,142.69291237599998
CUIABA,MT,-15.60694408416748,-56.06083297729492,184.0,A901,2010.0,1.0,27.826321184,364.95600437999985,123.85826684
BELEM,PA,-1.4111109972000122,-48.439444,21.17,A201,2010.0,1.0,27.32890877987097,328.39101325499985,112.803148808
ITAITUBA,PA,-4.276944160461426,-55.993056,24.46,A231,2010.0,1.0,28.293687618580645,197.0248451399999,122.01574716800002
CABROBO,PE,-8.503889083862305,-39.315278,342.74,A329,2010.0,1.0,28.15558641909678,44.227815559999726,162.75590436
PALMARES,PE,-8.666666984558105,-35.568056,164.01,A357,2010.0,1.0,26.652736639483877,121.7181300849999,127.389762878
MORRETES,PR,-25.508889,-48.808611,50.31,A873,2010.0,1.0,26.067115884387093,458.6035816499999,104.56299138600002
MAL. CANDIDO RONDON,PR,-24.53333282470703,-54.019167,392.07,A820,2010.0,1.0,25.946242878451613,153.4283890549998,150.267715472
NOVA TEBAS,PR,-24.433889,-51.953889,660.0,A822,2010.0,1.0,24.438982681290323,328.7412131699998,120.992125128
PICO DO COUTO,RJ,-22.4647216796875,-43.291389,1777.0,A610,2010.0,1.0,22.018490400516132,234.6679026699997,125.035432186
RIO DE JANEIRO - VILA MILITAR,RJ,-22.861389,-43.411389,30.43,A621,2010.0,1.0,29.447149633032268,178.9929828499998,153.03149498
