ano_mes,codigo,nome,uf,PR_soma_mm,PR_dias_validos,Tmed_media,T_dias_validos,dias_no_mes
2010-01,A873,MORRETES,PR,369.20000153779984,30,26.054838641997307,31,31
2010-02,A873,MORRETES,PR,117.79999865591526,28,27.18214293888637,28,28
2010-03,A873,MORRETES,PR,345.39999666810036,31,24.95322584336804,31,31
2010-04,A873,MORRETES,PR,288.5999957025051,29,22.25999995867411,30,30
2010-05,A873,MORRETES,PR,57.200000658631325,24,19.90416653951009,24,31
2010-06,A873,MORRETES,PR,39.80000028014183,25,19.049999997729348,21,30
2010-07,A873,MORRETES,PR,,17,,14,31
2010-08,A873,MORRETES,PR,,18,,18,31
2010-09,A873,MORRETES,PR,93.6000020802021,30,19.791666746139526,30,30
2010-10,A873,MORRETES,PR,174.60000325739384,29,20.271666701634725,30,31
2010-11,A873,MORRETES,PR,177.7999990582466,30,22.888333368301392,30,30
2010-12,A873,MORRETES,PR,342.7999998629093,30,23.988709511295443,31,31
2011-01,A873,MORRETES,PR,367.79999753832817,31,26.582257916850427,31,31
2011-02,A873,MORRETES,PR,345.5999983102083,28,26.407142911638534,28,28
2011-03,A873,MORRETES,PR,565.9999942779541,30,23.296774279686712,31,31
2011-04,A873,MORRETES,PR,45.59999965131283,30,23.026666498184206,30,30
2011-05,A873,MORRETES,PR,0.4000000059604645,31,19.80645147446663,31,31
2011-06,A873,MORRETES,PR,92.20000167191029,28,17.321666646003724,30,30
2011-07,A873,MORRETES,PR,148.2000007033348,28,17.359677368594753,31,31
2011-08,A873,MORRETES,PR,244.2000019401312,31,17.972580709765033,31,31
2011-09,A873,MORRETES,PR,59.999999687075615,28,18.713333304723104,30,30
2011-10,A873,MORRETES,PR,185.1999985128641,30,21.229032208842614,31,31
2011-11,A873,MORRETES,PR,89.79999934136868,30,21.85666667620341,30,30
2011-12,A873,MORRETES,PR,95.00000090897083,31,23.956451723652503,31,31
2012-01,A873,MORRETES,PR,357.59999860823154,31,24.69354844862415,31,31
2012-02,A873,MORRETES,PR,276.80000172555447,29,26.558620814619392,29,29
2012-03,A873,MORRETES,PR,40.000000461936,30,24.622580651314028,31,31
